branch_id,f_bus,t_bus,s_from,rate,loading_pct
45,65,66,1.000058768957917e-5,,
173,64,17,1.000058022287478e-5,,
77,175,129,1.0000575207171401e-5,,
226,146,231,1.000057041244191e-5,,
116,20,230,1.0000556391791834e-5,,
251,207,150,1.0000544101848213e-5,,
73,111,61,1.0000478491763355e-5,,
242,157,155,1.0000422083485827e-5,,
53,157,167,1.0000422083485827e-5,,
56,17,138,1.00004203347533e-5,,
118,195,149,1.0000416136365385e-5,,
69,195,130,1.0000412075093838e-5,,
188,110,243,1.0000395255433803e-5,,
206,195,245,1.0000394388065824e-5,,
162,259,212,1.000038884018677e-5,,
154,25,222,1.0000378851532339e-5,,
246,234,108,1.0000378219797497e-5,,
208,96,32,1.000037292121084e-5,,
223,191,237,1.0000356272534643e-5,,
200,170,236,1.0000330017823901e-5,,
123,149,144,1.0000316816863294e-5,,
87,149,97,1.0000313035548286e-5,,
183,176,88,1.0000298527547386e-5,,
133,155,174,1.0000297679883882e-5,,
255,144,62,1.0000286838254833e-5,,
100,14,246,1.0000271000320472e-5,,
164,212,135,1.0000264645351907e-5,,
235,185,22,1.0000255396012025e-5,,
93,45,28,1.0000248186764318e-5,,
205,62,5,1.000022813981835e-5,,
111,183,142,1.0000221555383093e-5,,
143,48,73,1.0000183966071568e-5,,
114,244,30,1.0000061786499291e-5,,
201,203,128,1.0000044606106648e-5,,
36,56,252,1.0000042836040534e-5,,
78,183,147,1.000003913957948e-5,,
211,142,106,1.0000038033240446e-5,,
249,191,40,1.0000020684463496e-5,,
166,126,188,1.0000000000000003e-5,,
67,152,218,6.175379171098109e-29,,
250,218,19,5.29082607094934e-29,,
141,263,253,1.705997455197632e-29,,
2,109,1,3.4339234127918904e-30,,
253,33,19,3.336320057702896e-30,,
103,109,33,3.336320057702896e-30,,
129,95,121,3.211283008867516e-30,,
91,1,189,1.8427893025255925e-30,,
256,159,83,4.277719518288449e-31,,
75,227,261,3.542782806687386e-31,,
167,196,132,2.630866987729771e-31,,
221,136,105,1.7763494832646091e-31,,
142,173,240,1.3583497525736049e-31,,
127,148,257,4.1452892115608416e-32,,
238,257,177,3.2738148358348407e-32,,
